"guildID","prozent"
"966811756376776724",100
"1009124566544695357",50
"1009875569271377921",20
"902646143303954562",50
"858329106726518794",70
"937398557286228010",40
"1100073942519140423",10
"1102163917062549645",40
"1034911293586554890",40
"1096705029341188147",40
"1060633841947131925",30
"1093910347812982804",40
"995408667845329007",50
"1099774247427113090",10
"1023249968703741992",70
"1104829063178227772",10
"1108708098929066065",80
"1095625583024668772",50
"1108054528600850463",40
"1057014848321499236",100
"1113127244370546768",50
"1113804338423414804",30
"1116289320991608834",70
"1117418032441081878",50
"1117497871047082106",70
"1117851639253053526",50
"1104102467504967803",50
"1104109477709479976",60
"1119628798325960794",50
"1120073762650476677",10
"1120351802987122798",60
"1120705348739797034",60
"1093103675943174195",10
"1121499310018801705",50
"1118574050625720410",50
"1104361940937097216",10
"1123634776646094868",50
"1076501989472604160",80
"1119907005956636692",90
"1126659670233338019",50
"1126984200780791829",20
"1124045357052076084",10
"1128682594767220746",50
"1128455370201899029",10
"1130862156875837510",100
"1113860538531848223",50
"1090706468573032448",10
"1089814668798869525",20
"1007205011064897536",80
"925729625580113951",80
"1136036031183994970",40
"1137462310110232616",40
"1125066301417734176",80
"1139950462083285022",70
"1141828814968717443",70
"1141857349234065479",70
"1141860423625359391",70
"1141601804191289428",40
"1141859088561618976",70
"1143885092230537316",60
"1089989933969715280",50
"1141786368247345302",50
"1151748076365684822",70
"1137062104155820045",100
"1152777074298339369",50
"1148682943712198767",50
"1154446655068836000",40
"1155923049909067866",40
"1151931930087010314",50
"1159519659930943579",50
"1161634391102062682",90
"1162126143823032401",50
"1166435600468025486",50
"1167117426408833044",10
"1116016786131918888",40
