"guild_id","role_id"
"857546239368101888","878646643170361374"
"953285654140293240","953324177325182976"
"906867698447822889","922755149758337104"
"958290691212050455","958303865030213642"
"952132126378172426","952132126378172434"
"961145157787451452","961147902313517096"
"961971433486041198","961974336670011443"
"947853231495721030","947932123787046993"
"947853231495721030","947869964625379358"
"963425271942381628","963425462971945020"
"947853231495721030","960461001722040320"
"970045236841697390","970303993647616020"
"970045236841697390","970340830697111552"
"970045236841697390","970341974303453234"
"946376574855438347","946389678377021491"
"877291515838361690","965737611408863233"
"877291515838361690","972817377500737546"
"877291515838361690","972817823208468490"
"909767478148751440","910452447665872918"
"973267734597087272","973281740665782272"
"925729625580113951","925735515179860031"
"968162980946673756","968162981236047940"
"892080636645486683","892080637031383055"
"973984199545602148","973984199751106596"
"979023326443892746","979026139781664898"
"984812138054967296","984815657814212618"
"985742947859464232","985753984788754442"
"947095698426433616","988715274666639370"
"947095698426433616","988713692113829908"
"947095698426433616","986280890315468903"
"988862173910540308","988918453295517706"
"988862173910540308","988916670082973736"
"988862173910540308","988919572017082479"
"991619253369327706","991690166936805407"
"984828890755268639","984847545429811241"
"994575472514056262","994575472627306673"
"994575472514056262","994578039478431875"
"939033081577373696","939201852535349308"
"997750186996682832","997751238642905088"
"982208360369762314","982210667375366244"
"951776421355868231","998934612053078107"
"999711820262674522","999714915864555652"
"996032349638774877","998218206709817424"
"1000400822380798053","1000400822422736942"
"909422299587964988","1001247496393207860"
"997188963074834563","997205665745485905"
"1004083404360392754","1004086470962839592"
"1004118303796629514","1004119243048108042"
"989961082833608795","998176620135325746"
"989961082833608795","997911484304736276"
"989961082833608795","997915017930358845"
"1000832197319720960","1002680791941263421"
"1005477359547318354","1005478908000473090"
"775145940020887572","1006639295391617144"
"775145940020887572","1006655761969074266"
"1006840596620648509","1006840596729696259"
"983384134439292938","985069997812510750"
"957242463284764732","1007359891796672522"
"999608734261190698","1004331303119900683"
"1010764337591361546","1010771512309067817"
"1011580684680318997","1011580684680319000"
"1007984950529769523","1007991637789659177"
"1012026771018883172","1012029461077696572"
"983413416209285190","983413416209285192"
"1012420010016260221","1012420010305663064"
"991083033341886524","991358171836850306"
"966811756376776724","1000032369379643412"
"1011598256322654359","1011598569016414218"
"1014221471314366497","1014222625561661532"
"1014116444897804408","1014116444897804415"
"1014227449061580810","1014240976862183485"
"1003672037199462471","1003672037224632356"
"1011747905129947288","1013852389696094228"
"961549776887898132","982589084188962887"
"1009875569271377921","1015656718744686613"
"1009875569271377921","1015656462623723550"
"1009875569271377921","1015656363457773658"
"1016236233640398848","1016241756251115611"
"1014610377633439845","1014615448207233054"
"1016631062610329610","1016636809360441424"
"1014628129857347655","1016396188611772446"
"1017523461482106943","1017719949336268861"
"1017523461482106943","1017720109067935764"
"1017523461482106943","1017720171785359402"
"858329106726518794","979483476346671184"
"1019292166943690822","1019292863076503563"
"1020315515111100476","1020315515111100481"
"1003577766173753374","1018098753057599569"
"1003577766173753374","1018099058285486121"
"1003577766173753374","1018099209464979489"
"1019243091267424287","1019825313477296140"
"1013805513496084481","1014927470014767134"
"1013805513496084481","1014988965687857193"
"810089469314990101","1022186035301589094"
"1021766119440257044","1021847739035820042"
"1021766119440257044","1021849554397696181"
"921045773456642108","959770753983713320"
"1008758902990569562","1008758903200284678"
"1008758902990569562","1008758903246434322"
"1008758902990569562","1008758903221276721"
"1023539601920507904","1023569418602676236"
"1021766119440257044","1023993227566657576"
"933769612120694854","996404583192604713"
"1025374315300003860","1025391232186318932"
