"userID","titel","beschreibung","preis","guildID","roleID"
"824378909985341451",Fuchsmünze,Dies ist ein alter gefundener Schatz aus den tiefen von Vulpos Wald.,1000,"",""
"853742600061714482","waldanteil ""vulpo""",Kaufe einen Teil von Vulpos Wald.,10000,"",""
"730734267704934422","Waldanteil ""Vulpo""",Kaufe einen Teil von Vulpos Wald.,10000,"",""
"948565546742452284",asdf,test,2,"",""
"991807730417418250",Bitcoin,Bitcoin,100,"964960515552059442",""
"991807730417418250",Bitcoin,Bitcoin,100,"964960515552059442",""
"981898944017739836","Waldanteil ""Vulpo""",Kaufe einen Teil von Vulpos Wald.,10000,"925729625580113951",""
"824378909985341451",Fuchsmünze,Dies ist ein alter gefundener Schatz aus den tiefen von Vulpos Wald.,1000,"925729625580113951",""
"936354421900726312",Mythos Rang,Kaufe ihmn dir,0,"1002963448646340699",""
"683055422650974448",test,"1",1,"768228694736371732",""
"792484163684532274",Fuchsmünze,Dies ist ein alter gefundener Schatz aus den tiefen von Vulpos Wald.,1000,"925729625580113951",""
"1001826064189902989",wichtiger,LOL,200,"1003577766173753374",""
"1001826064189902989",wichtiger,LOL,200,"1003577766173753374",""
"697386808920506409",Keks,Einfach ein toller Keks,1000,"1079807502113316896","1104492368507457587"
"593450283510792213",Keks,Einfach ein toller Keks,1000,"1079807502113316896","1104492368507457587"
"658731024309682187",Keks,Einfach ein toller Keks,1000,"1079807502113316896","1104492368507457587"
"1076446859805077515",Bananen,lecker essen,20,"1118231376399958098",
"1114950885978685461",Bier 🍻,Trinke Bier!,5,"1120771161870049372",
"1075455067441860729",Bier 🍻,Trinke Bier!,5,"1120771161870049372",
"1114950885978685461",Wasserpistole 🔫,Habe Spaß mit der Wasserpistole!,10,"1120771161870049372",
"1114950885978685461",Eis🍦,Iss ein Eis!,20,"1120771161870049372",
"1114950885978685461",Stift 🖋,Schreibe Nachrichten!,40,"1120771161870049372",
"955887673371934810",VIP+ Rang,Hol dir unseren VIP+ Rang für 7500 Cookies und damit Zugriff auf viele exklusive Channels!,7500,"1044625104379858944","1114090051920470026"
"1082010663502757959",Döner,Essen,6,"1107741292785582160",
"1105852622759538758",einen Rang,sehr cool,1,"1097921696750637166",
"947400397990002689",Waldanteil von Vulpos Wald,"""Kaufe"" einen Anteil an Vulpos Wald und erhalte eine tolle spezielle Rolle.",10000,"925729625580113951","1104132507231858839"
