"user_xp","user_level","client_id","guild_id"
4251,26,"261776911502540810","938999503724355594"
3306,54,"824378909985341451","925729625580113951"
59,3,"923479465294700565","949986463234261012"
4327,27,"918404133264982016","938999503724355594"
4901,28,"703897584791584799","803697848163631105"
9534,40,"852954532044472321","803697848163631105"
1093,12,"824378909985341451","937376412183183452"
63,1,"795382631318814730","743767102971707453"
1,1,"529233858965536768","949986463234261012"
1,1,"825261013829156875","743767102971707453"
98,1,"923479465294700565","939171507005968414"
254,5,"826898136073109574","907693128859934771"
32,1,"810598602748461087","949986463234261012"
52,1,"720239394770124802","939171507005968414"
127,2,"614818414732771360","949986463234261012"
314,5,"775356617159868457","907628929714626610"
1209,17,"788047919932375070","907628929714626610"
213,3,"923479465294700565","925729625580113951"
1,12,"897641092697186336","925729625580113951"
886,27,"835782971235368960","925729625580113951"
230,6,"802206852489805894","933000357045485621"
3558,31,"681265087893340232","803697848163631105"
158,1,"930334161477197896","907628929714626610"
160,9,"820600883133022239","907628929714626610"
1148,17,"796148954398982174","907628929714626610"
443,10,"811512494765244427","803697848163631105"
275,4,"763628268347719710","946489548232359968"
95,7,"740225640858648589","907628929714626610"
465,7,"731584662287286312","907693128859934771"
144,2,"788047919932375070","925729625580113951"
110,5,"884467000557051974","907693128859934771"
824,26,"317800555265130496","938999503724355594"
132,3,"299251045513691137","939171507005968414"
67,3,"831061076501069845","939171507005968414"
327,4,"649196732273655809","927709517544849408"
163,3,"824378909985341451","939171507005968414"
92,11,"809739434537910283","925729625580113951"
1134,31,"603430803518783489","938999503724355594"
23,1,"857541881764118558","857546239368101888"
1141,21,"909415391305023488","907628929714626610"
351,8,"944710693989527662","907693128859934771"
153,3,"402539269014552578","907693128859934771"
370,7,"923131308522209300","938999503724355594"
290,3,"942805018782892082","907628929714626610"
6472,10,"681866832780853281","935287972327206953"
294,26,"718801293891600396","803697848163631105"
772,23,"934495470007504937","907628929714626610"
71,2,"716701799091929148","907628929714626610"
48,1,"672059874926133251","909803699042390077"
97,3,"897641092697186336","936043147857911850"
230,2,"708652150179233814","800511998688624640"
20,3,"894482422702407681","927709517544849408"
50,3,"839847107371859998","907628929714626610"
399,19,"795382631318814730","925729625580113951"
115,18,"800387017850224660","925729625580113951"
3540,37,"802559599562719292","803697848163631105"
172,5,"793455216161718272","936022428776292364"
41,2,"809739434537910283","866647091836223519"
406,6,"735454828582535198","907628929714626610"
12,1,"693154896618192916","907628929714626610"
144,2,"845602330409828353","907628929714626610"
342,6,"881583628059025478","803697848163631105"
3610,22,"898091616072503326","803697848163631105"
11,1,"540607411203866634","933000357045485621"
103,6,"732136954325499957","949050648186486814"
523,6,"831053064622440449","949050648186486814"
1610,14,"837044499346620448","949050648186486814"
327,8,"709822834259525692","949050648186486814"
262,9,"823169099240308769","949050648186486814"
367,5,"894951266898296872","949050648186486814"
79,1,"938882063908601856","935287972327206953"
30,3,"771781821729472572","949050648186486814"
