"guildID","userID","grund","time"
"1006308113432981514","824378909985341451",Bitte nicht stören,"1661617268"
"1003667793381691392","824378909985341451",Bitte nicht stören,"1661617276"
"998159484671242302","1006952353649393854",darum,"1662400265"
"984928443173068880","853742600061714482",test,"1683577885"
"1102619214314995745","910619982780563496",Bitte nicht stören,"1684760179"
"1114906979849211904","1000759072007659530",Bitte nicht stören,"1686129287"
"1117356489313615902","985764499220992060",Bitte nicht stören,"1686479649"
"1101181359017431121","867784993945944084",Bitte nicht stören,"1688934151"
"1112191800136966154","1112186714933428286","29","1689695913"
"1121350028594774046","954798427802304532",Bin in München,"1690033460"
"1148001489734865036","1033315267910058005",afk,"1693922360"
"1156960129766412408","1137659364388372540",Afk,"1696104544"
"1147342274292887562","1057005155620487298",afk,"1696108817"
"1120771161870049372","1125509062302388374",Bitte nicht stören,"1697134714"
"1030190939437809785","746780734504566916",Bitte nicht stören,"1698859312"
"1030190939437809785","826475257249660959",Bitte nicht stören,"1698929340"
"1030190939437809785","929119737974247495",Bitte nicht stören,"1699025822"
