"guildID","msgID","lösung"
"1019243091267424287","1021884207569580192",Roadrunner
"1019243091267424287","1021885137371279390",Leseratte
"1019243091267424287","1021885591589228574",Betrügen
"1003577766173753374","1022162683648286850",Rettungsdienst
"993887751785168906","1022182287359610982",Königsschloss
"853657798734118924","1022505367860695111",Wolkenkratzer
"979481422815440897","1022865307448115272",Glühwürmchen
"1014445347713593354","1023243348212981810",Impfung
"989961082833608795","1023478476034035762",Lichterkette
"981566048954376202","1023501170779623454",Hochzeit
"1004823864653647984","1023630753214513202",E.T.
"773961545146433537","1023652941233668216",Paramount Pictures
"1005575214068944936","1023702590426447952",Hochzeit
"1015566956885192734","1023942263157571594",Flaschenpost
"993232935949975632","1024008981028552704",Dortmund
"984928443173068880","1024013362268475443",Rettungsdienst
"640536364324093954","1024227906798493726",Zyzz
"960991044302946354","1025053147036647496",mathe
"949612614466535424","1025083079666188370",Alter Schwede
"854072033494958112","1025111452832510003",Reitturnier
"1020719124478968019","1025119436476252160",Liebeskummer
"940291686783926272","1025123138574495754",Brexit
"966811756376776724","1025261521334444083",Life of Pi
"998640957211820133","1025387977561620491",Zeitreise
"810089469314990101","1025471000567107615",Vulkanausbruch
"1015556873648341023","1025680562473676822",Dracula
"948595942448320653","1025799594933764126",Paramount Pictures
"1014140264270545016","1025802571228663919","99 Luftballons"
"933769612120694854","1025820204267225160",Weinachten
"1064193343413825576","1103039292361670687",Feuerblume
"1083998012554084412","1103062531909627994",Reiten
"1083998012554084412","1103062715896967190",Vulkanausbruch
"1076607061967765584","1103333285532282970",Discord Bot
"1023650258032525322","1103340203600519219",Dirty Dancing
"1103145290158051409","1103461210541797428",Hexe
"1074565538040254485","1103563621117726831",Skittles
"1074560635389624321","1103566900685979699",Geburtstagskind
"1065307487823200256","1103765299376963755",Lucky Strike
"1101244141758861422","1103772702097023147",Hitzewelle
"1062024439153295481","1103910966040723476",Star wars
"1062024439153295481","1103925353497493566",Hundeschule
"988081985488564266","1104031583658324070",Polizei
"1062418691100258365","1104033243868692541",Ehestreit
"1047432819300904971","1104096898547191939",Wissenschaft
"1044343444899901562","1104097394108411995",Zeit ist Geld
"1044343444899901562","1104097866483519621",Cowboy
"1023565371086741534","1104118897537454080",Happy Meal
"1047228829866938480","1104140047088894042",Zeitreise
"1074340944012390410","1104155111154000042",Discord Bot
"1095133511683411978","1104342886914469908",König der Löwen
"955794727784034334","1104363258753855529",heiß
"1096139477983965347","1104527060208205915",Fruchtsaft
"1094756829805957232","1104604669885562880",Köder
"1072600963946381332","1104736373107335248",Blutdiamant
"1103777897342316576","1104777544957431818",Pilot
"1097849240954355784","1105029248198119485",Life of Pi
"1103653754294767759","1105099521379291166",Liebe macht blind
"1103653754294767759","1105100173065060382",King Kong
"1103653754294767759","1105100574975860827",Taschenlampe
"1097882210746515566","1105107842094088243",Batman
"1044625104379858944","1105152484017700955",Schneesturm
"1068934260729319484","1105172624633507890",Zwiebelringe
"1026202595125104651","1105194210757443664",Spiderman
"1026202595125104651","1105194217908748288",Pferderennen
"1079807502113316896","1105197185550790709",Hexe
"1071575196135337994","1105370954139451405",Baumhaus
"960055508415426570","1105388833303965709",Sex and the City
"1105377750157631560","1105425900205506580",Schlüssel
"1008126803812036720","1105717435803390064",Atomkraftwerk
"1057425944807211050","1105720821575581768",Muttertag
"1105377750157631560","1105784850318884904",Fußball
"925729625580113951","1105833252746436668",Arielle
"1038067079938576394","1105850946921177131",Wissenschaft
"1092832016824799315","1105859659539173496",Fußball
"929162256984469558","1105861270806200410",Weinachten
"931796676774092842","1105861756775055422",Froschkönig
