"guild_id","channel_id"
"925729625580113951","963062026173816882"
"933706031517802536","960227772192653332"
"933706031517802536","972163446504316938"
"925729625580113951","965596069419429949"
"966978675251744779","972966325439848508"
"933706031517802536","948978946874167366"
"933706031517802536","963343392023126016"
"933706031517802536","958061952893079603"
"933706031517802536","960561064368554054"
"925729625580113951","925838289276112946"
"994575472514056262","994575473478733913"
"994575472514056262","994575473654910997"
"925729625580113951","999213022448984064"
"925729625580113951","999645481045082124"
"988078038531076146","999065078202634281"
"948595942448320653","1001800801875918929"
"966811756376776724","999647888143564851"
"939887880598331423","980485532532478003"
"939887880598331423","940610017613201428"
"939887880598331423","1006586259331891302"
"939887880598331423","1010520607865184256"
"939887880598331423","1012477609122201621"
"948595942448320653","1014994863260979311"
"948595942448320653","1015383154472788128"
"993887751785168906","994503397015298069"
"937793977892077668","1016790218621341746"
"1018445925972201523","1020298981089214535"
"810089469314990101","1022207183246590102"
"916429769007067157","985469838782791691"
"916429769007067157","946149364756267068"
"916429769007067157","985470122552606730"
