"guild_id","channel_id"
"925729625580113951","958025194281250898"
"907693128859934771","955876118605463633"
"937376412183183452","956833506842017852"
"947853231495721030","959813778722131978"
"961971433486041198","962005927362441226"
"962053119938797628","962637372800008233"
"940569469409968139","962649675817689108"
"933706031517802536","970344511102410802"
"938131371451359244","963710961498329088"
"963064640424771584","963761086035820625"
"967095316073554010","968972438065020930"
"954126613862318121","971857023933218846"
"966811756376776724","974640219448016917"
"957359041057800213","975002989234368532"
"975513831394648074","975543859310387240"
"963099143268626432","984388933028814858"
"934822117969653780","1002223152765616128"
"952318312182865971","976775009194344488"
"877291515838361690","977897327446609980"
"897900673931284530","978985644804149288"
"968162980946673756","979335911655481394"
"979801162851155988","980218292075630632"
"980407227074637825","980433303825944606"
"984083592110039120","984129100564271164"
"985146520699555861","985209017775321118"
"963541530533036042","993071838869590076"
"984928443173068880","1005984861166772244"
"981424981563019284","987827069733986414"
"973289734057132092","995717354816278599"
"978345087912280104","991309644423241758"
"992167006033956874","992170385086894210"
"951776421355868231","998941124586651729"
"999250829540347955","999251269959028786"
"999711820262674522","999724991790710784"
"909422299587964988","1001614005196042351"
"1003667793381691392","1003713248018837535"
"989961082833608795","1004000057441390603"
"999561154655440928","1004098849956188170"
"775145940020887572","1006643696730648728"
"995757335379185724","1008827724657344582"
"1009496911348256799","1009855005576134736"
"983806829165420596","1012878732832280597"
"991083033341886524","1012970132273897492"
"939887880598331423","1013496444910583849"
"1002661461581123635","1013761941170302997"
"1011666623465267341","1013762349003456512"
"1003987205196361728","1013857845567041576"
"948595942448320653","1014961363212324924"
"974771788481429504","1016393178892476508"
"768228694736371732","1018123063818207314"
"990688466448834611","1016415703672299551"
"994223091720917012","1016968159791693834"
"993887751785168906","1017074924428472341"
"937793977892077668","1017075279799275690"
"683059539054297159","1018137459604869212"
"1013884961583022250","1020253239259709450"
"1019243091267424287","1023178022259523605"
"983409995720822804","1021060619568418856"
"972937031929966672","1021761285240672336"
"810089469314990101","1022185758829842442"
"1008758902990569562","1022488975438520330"
"1020719124478968019","1022602686748688415"
"796793045516681257","1023192549269192784"
"1023200759447298129","1023624942476075038"
"1047111184064716861","1103036748184957009"
