"guild_id","channel_id"
"925729625580113951","963062026173816882"
"933706031517802536","960227772192653332"
"933706031517802536","972163446504316938"
"925729625580113951","965596069419429949"
"966978675251744779","972966325439848508"
"933706031517802536","948978946874167366"
"933706031517802536","963343392023126016"
"933706031517802536","958061952893079603"
"933706031517802536","960561064368554054"
"925729625580113951","925838289276112946"
"994575472514056262","994575473478733913"
"994575472514056262","994575473654910997"
"925729625580113951","999213022448984064"
"925729625580113951","999645481045082124"
